id_person;name;surname;birthDay;birthPlace;birthCountry;deathDay;deathPlace;deathCountry
1;Peter;Hochschorner;1979-09-07;Bratislava;Slovensko;;;
2;Pavol;Hochschorner;1979-09-07;Bratislava;Slovensko;;;
3;Elena;Kaliská;1972-01-19;Zvolen;Slovensko;;;
4;Anastasiya;Kuzmina;1984-08-28;Ťumeň;Sovietsky zväz;;;
5;Michal;Martikán;1979-05-18;Liptovský Mikuláš;Slovensko;;;
6;Ondrej;Nepela;1951-01-22;Bratislava;Slovensko;1989-02-02;Mannheim;Nemecko
7;Jozef;Pribilinec;1960-07-06;Kopernica;Slovensko;;;
8;Anton;Tkáč;1951-03-30;Lozorno;Slovensko;;;
9;Ján;Zachara;1928-08-27;Kubrá pri Trenčíne;Slovensko;;;
10;Július;Torma;1922-03-07;Budapešť;Maďarsko;1991-10-23;Praha;Česko
11;Stanislav;Seman;1952-08-06;Košice;Slovensko;;;
12;František;Kunzo;1954-09-17;Spišský Hrušov;Slovensko;;;
13;Miloslav;Mečíř;1964-05-19;Bojnice;Slovensko;;;
